,nickname,text,score,like,dislike,time,watch_movie
336,kims****,아주 진핑 닮은분 ㅋㅋㅋ 영화에서 슈퍼 애국자네 이런 영화 본 내가 ㅂㅂ 다 결국 중국 국뽕영화 ㅋㅋㅋ,2,3,0,2020-10-22 08:00:00,0
337,꿍창(ckdg****),조선족들 평점 조작하는 거 소름끼치면서 역겹네;;,1,3,0,2020-10-13 13:14:00,0
338,장대겸(7642****),이 영화를 돈 주고 볼 생각이라면 차라리 그 돈을 쓰레기통에 처 박아라,1,3,0,2020-10-05 23:23:00,0
339,jhpa****,"보이콧 안해도 망할 영화. 개연성 없고, 무술은 얼척 없음. 주연배우의 정치적 발언 제외하고 작품성으로만 평가해도 냉정하게 시장에서 배척당할듯",1,3,0,2020-10-05 15:00:00,0
340,하프휴먼(jwli****),이게 5점보다 높다는게 놀랍다.어릴적 꿈과 희망을 노래하던 디즈니가 자본과 pc사상에 물들어 처참하게 무너지는 것을 못느낀걸까?난 어릴적 추억이 갈갈히 찢겨 나가는 비참함을 느꼈다.왜 저 만화영화는 다 서양밖에 없지...,1,3,0,2020-10-05 13:16:00,0
341,송현준(zoaz****),어설픈 미국식 영웅주의와 졸부의 돈의 만남ㅎㅎㅎ그저 웃음만이...,2,3,0,2020-10-03 13:37:00,0
342,JMSAmelbheimong(aide****),이... 이게 뭐노,2,3,0,2020-10-03 12:29:00,0
343,강신욱(yaki****),이딴영화 5점은 다알바임ㅋㄱ,1,3,0,2020-10-03 12:27:00,0
344,왕새우눈(rabs****),스토리도 재미도 액션도 감동도 도대체 뭘 잡고자 돈들여서 리메이크를 했나 싶어요. 디즈니 영화 중 몇 개 실망작중에 최고 망작...,1,3,0,2020-09-30 23:06:00,0
345,puss10(couc****),원작 뮬란을 기대하고 보면 생뚱맞은 b급 무협영화에 실망,1,3,0,2020-09-30 17:47:00,0
346,제이디(king****),뮬란 이미지는 유역비보다는 오히려 공리가 더 가까운거 같은데... 그냥 흔한 중국 무협지가 된 느낌... 유쾌한 애니를 왜이렇게 심각하게 만든건지,2,3,0,2020-09-25 15:09:00,0
347,꼬부기(sub2****),핵노잼...진심 보지 마세요... 이건 뮬란이 아니야!,1,3,0,2020-09-25 14:31:00,0
348,다물(news****),한마디로 졸작!! 애니 뮬란 생각하시면 안되요내용이 정말 허접해요,1,3,0,2020-09-25 14:19:00,0
349,민준(tony****),걍 쓰레기...ㅋㅋㅋㅋ,1,3,0,2020-09-25 14:15:00,0
350,lss1****,감동도  스켈도 연기력도 없는,2,3,0,2020-09-25 13:42:00,0
351,bnenedicta(bndt****),그냥 만화 뮬란 보세요실망이 큽니다,1,3,0,2020-09-25 11:33:00,0
352,미남오징어(ryo1****),애니메이션 뮬란이 왜 뛰어난 영화였는지 제대로 분석했다면 이딴식으로 영화를 안만들었겠지.. 마녀가 나오고 마법이 나오는 설정이 모든걸 망쳐버렸다..,1,3,0,2020-09-25 10:42:00,0
